train_id,train_station,line,first_station,last_station,planned_departure,actual_departure,delay_minutes,delayed
33113,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:14:00,2025-08-08 17:18:00,4,1
33119,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:54:00,2025-08-08 17:54:00,0,0
31613,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 17:17:00,2025-08-08 17:17:00,0,0
33225,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 17:10:00,2025-08-08 17:15:00,5,1
89726,Köln Hbf,RE6,Minden(Westf),Köln/Bonn Flughafen,2025-08-08 17:52:00,2025-08-08 17:56:00,4,1
33119,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:54:00,2025-08-08 18:03:00,9,1
32013,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 18:00:00,2025-08-08 18:02:00,2,1
33230,Köln Hbf,S12,Horrem,Hennef(Sieg),2025-08-08 17:51:00,2025-08-08 17:55:00,4,1
613,Köln Hbf,ICE,Kiel Hbf,München Hbf,2025-08-08 17:55:00,2025-08-08 18:48:00,53,1
33233,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 17:50:00,2025-08-08 17:54:00,4,1
8,Köln Hbf,EC,Zürich HB,Hamburg-Altona,2025-08-08 17:09:00,2025-08-08 17:52:00,43,1
33750,Köln Hbf,RE8,Troisdorf,Rommerskirchen,2025-08-08 17:59:00,2025-08-08 18:00:00,1,1
26829,Köln Hbf,RE1,Aachen Hbf,Hamm(Westf)Hbf,2025-08-08 17:49:00,2025-08-08 17:51:00,2,1
28525,Köln Hbf,RE5,Oberhausen Hbf,Koblenz Hbf,2025-08-08 17:32:00,2025-08-08 17:51:00,19,1
10042,Köln Hbf,RE22,Kall,Köln Messe/Deutz,2025-08-08 17:42:00,2025-08-08 17:54:00,12,1
32011,Köln Hbf,S19,Hennef(Sieg),Düren,2025-08-08 17:40:00,2025-08-08 17:51:00,11,1
25435,Köln Hbf,RB26,Köln Messe/Deutz,Mainz Hbf,2025-08-08 17:56:00,2025-08-08 18:06:00,10,1
31602,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:44:00,2025-08-08 17:47:00,3,1
25430,Köln Hbf,RB26,Mainz Hbf,Köln Messe/Deutz,2025-08-08 17:05:00,2025-08-08 17:54:00,49,1
33749,Köln Hbf,RB27,Mönchengladbach Hbf,Troisdorf,2025-08-08 17:38:00,2025-08-08 17:42:00,4,1
10561,Köln Hbf,RB25,Lüdenscheid-Brügge,Köln Hansaring,2025-08-08 17:37:00,2025-08-08 17:41:00,4,1
17355,Köln Hbf,RB48,Wuppertal-Oberbarmen,Bonn-Mehlem,2025-08-08 17:37:00,2025-08-08 17:39:00,2,1
28526,Köln Hbf,RE5,Koblenz Hbf,Oberhausen Hbf,2025-08-08 17:31:00,2025-08-08 17:38:00,7,1
17426,Köln Hbf,RE7,Krefeld Hbf,Rheine,2025-08-08 17:21:00,2025-08-08 17:38:00,17,1
33231,Köln Hbf,S12,Au(Sieg),Horrem,2025-08-08 17:30:00,2025-08-08 17:38:00,8,1
31617,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 17:57:00,2025-08-08 17:59:00,2,1
32017,Spich,S19,Blankenberg(Sieg),Düren,2025-08-08 17:55:00,2025-08-08 17:56:00,1,1
33228,Spich,S12,Horrem,Au(Sieg),2025-08-08 17:50:00,2025-08-08 17:55:00,5,1
32008,Spich,S19,Düren,Hennef(Sieg),2025-08-08 17:44:00,2025-08-08 17:49:00,5,1
33239,Spich,S12,Hennef(Sieg),Horrem,2025-08-08 17:46:00,2025-08-08 17:46:00,0,0
32013,Spich,S19,Au(Sieg),Düren,2025-08-08 17:35:00,2025-08-08 17:35:00,0,0
33224,Spich,S12,Horrem,Hennef(Sieg),2025-08-08 17:30:00,2025-08-08 17:31:00,1,1
33233,Spich,S12,Hennef(Sieg),Horrem,2025-08-08 17:26:00,2025-08-08 17:28:00,2,1
32004,Spich,S19,Düren,Au(Sieg),2025-08-08 17:24:00,2025-08-08 17:27:00,3,1
32011,Spich,S19,Hennef(Sieg),Düren,2025-08-08 17:15:00,2025-08-08 17:25:00,10,1
33218,Spich,S12,Horrem,Hennef(Sieg),2025-08-08 17:10:00,2025-08-08 17:12:00,2,1
32002,Spich,S19,Düren,Blankenberg(Sieg),2025-08-08 17:04:00,2025-08-08 17:06:00,2,1
33231,Spich,S12,Au(Sieg),Horrem,2025-08-08 17:06:00,2025-08-08 17:06:00,0,0
33245,Spich,S12,Hennef(Sieg),Horrem,2025-08-08 18:26:00,2025-08-08 18:26:00,0,0
33240,Spich,S12,Horrem,Au(Sieg),2025-08-08 18:50:00,2025-08-08 18:51:00,1,1
32016,Spich,S19,Düren,Hennef(Sieg),2025-08-08 18:44:00,2025-08-08 18:45:00,1,1
32012,Spich,S19,Düren,Au(Sieg),2025-08-08 18:24:00,2025-08-08 18:30:00,6,1
33238,Spich,S12,Horrem,Hennef(Sieg),2025-08-08 18:30:00,2025-08-08 18:33:00,3,1
32019,Spich,S19,Hennef(Sieg),Sindorf,2025-08-08 18:15:00,2025-08-08 18:19:00,4,1
32021,Spich,S19,Au(Sieg),Düren,2025-08-08 18:35:00,2025-08-08 18:36:00,1,1
33230,Spich,S12,Horrem,Hennef(Sieg),2025-08-08 18:10:00,2025-08-08 18:13:00,3,1
32010,Spich,S19,Düren,Blankenberg(Sieg),2025-08-08 18:04:00,2025-08-08 18:07:00,3,1
33243,Spich,S12,Au(Sieg),Horrem,2025-08-08 18:06:00,2025-08-08 18:07:00,1,1
32025,Spich,S19,Blankenberg(Sieg),Sindorf,2025-08-08 18:55:00,2025-08-08 18:55:00,0,0
33249,Spich,S12,Hennef(Sieg),Horrem,2025-08-08 18:46:00,2025-08-08 18:46:00,0,0
33240,Spich,S12,Horrem,Au(Sieg),2025-08-08 18:50:00,2025-08-08 18:52:00,2,1
33238,Spich,S12,Horrem,Hennef(Sieg),2025-08-08 18:30:00,2025-08-08 18:35:00,5,1
32021,Spich,S19,Au(Sieg),Düren,2025-08-08 18:35:00,2025-08-08 18:35:00,0,0
32012,Spich,S19,Düren,Au(Sieg),2025-08-08 18:24:00,2025-08-08 18:29:00,5,1
17360,Köln Hbf,RB48,Köln Messe/Deutz,Wuppertal-Oberbarmen,2025-08-08 18:52:00,2025-08-08 18:52:00,0,0
33127,Köln Hbf,S11,Bergisch Gladbach,Dormagen,2025-08-08 18:54:00,2025-08-08 18:58:00,4,1
